"","X","year","refugees","carbon","methane","temperatures","ocean_warming","sea_level","Drought","Extreme_Temperatures","Flood","Landslide","storm","wildfire","arctic_ice","remittence"
"1",1,1990,19850545,354.4525,1714.43,0.45,0.517,NA,19,13,59,5,132,4,6.14,0.39656088
"2",2,1991,19429141,355.704166666667,1724.82,0.4,3.036,NA,12,8,75,9,66,8,6.47,0.331430354
"3",3,1992,20545162,356.545833333333,1735.48,0.22,3.899,NA,11,7,57,8,76,8,7.47,0.339577476
"4",4,1993,19238525,357.215833333333,1736.53,0.23,3.84,-32.9491891891892,9,3,84,25,105,2,6.4,0.333704435
"5",5,1994,18846657,358.959166666667,1742.07,0.31,3.409,-28.4086486486486,11,9,88,11,80,13,7.14,0.342751418
"6",6,1995,18141960,360.968333333333,1748.88,0.45,4.543,-24.4778378378378,6,13,93,16,76,7,6.08,0.315735097
"7",7,1996,16725191,362.743333333333,1751.28,0.33,5.033,-23.6266666666667,7,5,91,24,74,4,7.58,0.318308727
"8",8,1997,15484076,363.876666666667,1754.53,0.46,4.996,-19.0394594594595,17,13,95,13,79,15,6.69,0.364217975
"9",9,1998,15053820,366.84,1765.54,0.61,6.233,-20.5448648648649,20,12,94,22,86,18,6.54,0.361037066
"10",10,1999,15364642,368.54,1772.33,0.38,6.234,-18.6432432432432,26,8,122,18,103,21,6.12,0.363641584
"11",11,2000,15935134,369.7075,1773.33,0.39,7.286,-13.422972972973,25,30,157,27,101,30,6.25,0.371527886
"12",12,2001,16043088,371.319166666667,1771.22,0.53,8.284,-7.15027027027027,22,23,155,24,105,14,6.73,0.40481814
"13",13,2002,14619220,373.451666666667,1772.66,0.63,9.481,-5.63166666666667,24,15,171,20,122,22,5.83,0.451069703
"14",14,2003,13728696,375.983333333333,1777.33,0.62,10.173,-3.76081081081081,14,25,157,21,85,14,6.12,0.494541305
"15",15,2004,13805229,377.698333333333,1777.05,0.53,11.806,-1.55891891891892,11,16,127,15,121,8,5.98,0.503232142
"16",16,2005,13011239,379.983333333333,1774.16,0.68,11.996,3.08243243243243,20,40,191,13,130,13,5.5,0.540250707
"17",17,2006,14325308,382.090833333333,1774.96,0.64,12.423,4.41694444444444,9,14,226,20,76,9,5.86,0.577167169
"18",18,2007,15952902,384.025,1781.38,0.66,12.664,5.06108108108108,11,25,217,10,100,18,4.27,0.612575519
"19",19,2008,15160726,385.831666666667,1787.01,0.54,14.102,7.37333333333333,16,16,165,12,112,5,4.69,0.64748971
"20",20,2009,15162383,387.6425,1793.53,0.66,14.587,12.4483783783784,18,20,151,29,87,9,5.26,0.654435339
"21",21,2010,15239914,390.101666666667,1798.93,0.72,15.229,13.7143243243243,21,28,184,32,94,7,4.87,0.641989972
"22",22,2011,15201660,391.850833333333,1803.14,0.61,16.681,12.9991891891892,16,15,156,17,81,8,4.56,0.649475952
"23",23,2012,15416934,394.055833333333,1808.12,0.65,17.563,24.0656756756757,18,52,136,13,90,6,3.57,0.666534956
"24",24,2013,16728282,396.7375,1813.41,0.68,19.004,26.3389189189189,9,13,148,11,105,10,5.21,0.688768824
"25",25,2014,19534031,398.8125,1822.57,0.74,20.001,30.1544444444444,20,17,136,15,98,4,5.22,0.71613182
"26",26,2015,21351533,401.011666666667,1834.26,0.9,21.074,40.9189189189189,27,12,161,20,121,13,4.62,0.749652787
"27",27,2016,22524729,404.4125,1843.12,1.02,21.879,42.5994594594595,14,12,159,13,86,10,4.53,0.723788794
"28",28,2017,25383513,406.758333333333,1849.58,0.92,22.147,42.6224324324324,12,10,127,25,126,15,4.82,0.740057663
"29",29,2018,25905091,408.715,1857.33,0.85,23.294,46.1375675675676,17,27,127,12,94,10,4.79,0.748774023
"30",30,2019,26044498,411.649166666667,1866.58,0.98,24.442,53.7154054054054,15,21,195,25,91,14,4.36,0.767368793
"31",31,2020,26365367,414.210833333333,1878.93,1.01,25.186,54.1919444444444,12,5,201,19,127,9,4,0.788959546
"32",32,2021,27120192,416.413333333333,1895.28,0.85,26.648,58.1472972972973,16,3,222,12,119,19,4.95,0.779994364
"33",33,2022,35300386,418.528333333333,1911.82,0.89,NA,60.5781081081081,22,12,176,17,105,15,4.9,0.796443702
